year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
2012.0,PG,97.0,"Animation, Action, Adventure",Comedy,7.3,58.0,157623.0,103412758.0
2011.0,PG-13,117.0,"Comedy, Romance",Comedy,6.4,33.0,222217.0,103028109.0
1999.0,R,95.0,Comedy,Comedy,7.0,58.0,377044.0,102561004.0
1964.0,G,139.0,"Comedy, Family, Fantasy",Comedy,7.8,88.0,158471.0,102272727.0
2013.0,N-16,92.0,Comedy,Comedy,6.5,54.0,89216.0,102003019.0
1994.0,PG,127.0,"Action, Adventure, Comedy",Comedy,7.0,62.0,101934.0,101631272.0
2013.0,N-18,107.0,Comedy,Comedy,6.6,67.0,384754.0,101470202.0
2003.0,V,82.0,"Adventure, Comedy, Family",Comedy,4.0,19.0,52559.0,101149285.0
2003.0,PG-13,106.0,"Action, Adventure, Comedy",Comedy,4.9,48.0,121187.0,100830111.0
2010.0,R,95.0,"Adventure, Comedy, Drama",Comedy,6.5,51.0,324305.0,100539043.0
1995.0,PG,104.0,"Adventure, Comedy, Family",Comedy,7.0,39.0,309867.0,100475249.0
2008.0,R,98.0,Comedy,Comedy,6.9,51.0,268820.0,100468793.0
2007.0,V,96.0,"Comedy, Family, Fantasy",Comedy,5.4,37.0,139521.0,100462298.0
1995.0,V,100.0,"Comedy, Family, Fantasy",Comedy,6.1,49.0,122051.0,100328194.0
1998.0,R,123.0,"Comedy, Drama, History",Comedy,7.1,87.0,214433.0,100317794.0
2011.0,R,92.0,"Comedy, Romance",Comedy,5.6,47.0,193551.0,100292856.0
2010.0,V,81.0,"Animation, Adventure, Comedy",Comedy,4.6,35.0,20544.0,100246011.0
2017.0,N-16,141.0,"Action, Adventure, Comedy",Comedy,6.7,44.0,274234.0,100234838.0
2019.0,PG,86.0,"Animation, Comedy, Family",Comedy,5.8,46.0,28904.0,100044905.0
2008.0,N-7,113.0,Comedy,Comedy,5.5,54.0,191278.0,100018837.0
2018.0,PG,104.0,"Adventure, Comedy, Drama",Comedy,7.3,60.0,69206.0,99215042.0
2011.0,PG-13,119.0,"Action, Comedy, Crime",Comedy,5.8,39.0,155337.0,98780042.0
2010.0,PG-13,88.0,"Comedy, Crime, Romance",Comedy,6.3,56.0,152660.0,98711404.0
2007.0,G,95.0,"Animation, Adventure, Comedy",Comedy,6.8,61.0,87785.0,97822171.0
2008.0,PG-13,104.0,"Comedy, Romance",Comedy,6.8,46.0,336428.0,97690976.0
2016.0,N-16,89.0,"Animation, Adventure, Comedy",Comedy,6.1,66.0,176422.0,97685686.0
1999.0,PG,78.0,"Action, Adventure, Comedy",Comedy,4.2,36.0,45516.0,97403112.0
2007.0,PG-13,103.0,"Comedy, Romance",Comedy,4.1,27.0,68814.0,95673607.0
2010.0,R,146.0,"Comedy, Drama, Romance",Comedy,4.5,27.0,74550.0,95347692.0
1996.0,PG,105.0,"Comedy, Drama, Fantasy",Comedy,5.7,38.0,41004.0,95318203.0
2008.0,PG,91.0,"Adventure, Comedy, Drama",Comedy,3.8,41.0,22876.0,94514402.0
1998.0,PG-13,136.0,"Action, Adventure, Comedy",Comedy,6.7,63.0,169445.0,94095523.0
2002.0,PG-13,105.0,"Comedy, Drama, Romance",Comedy,5.3,45.0,84362.0,94011225.0
2009.0,PG-13,129.0,"Comedy, Drama, Romance",Comedy,6.4,47.0,162504.0,93953653.0
