title,year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
Blogos mamos,2016,N-16,100 min,Comedy,Comedy,6.2,60,114591,113257297
Aukle,2005,PG,95 min,"Action, Comedy, Drama",Comedy,5.6,30,88209,113086868
Daktaras Dolitlis 2,2001,PG,87 min,"Comedy, Family, Fantasy",Comedy,4.7,49,41869,112952899
Tai... sudetinga,2009,R,121 min,"Comedy, Drama, Romance",Comedy,6.5,57,86541,112735375
Snipu vaikuciai,2001,PG,88 min,"Action, Adventure, Comedy",Comedy,5.5,71,108966,112719001
Vaiduokliu medžiotojai 2,1989,V,108 min,"Action, Comedy, Fantasy",Comedy,6.6,56,183698,112494738
Pagirios 3: velniai žino kur,2013,N-16,100 min,"Comedy, Crime",Comedy,5.8,30,293977,112200072
Dvyniai,1988,nan,107 min,"Comedy, Crime",Comedy,6.1,53,114318,111936400
Šnipu vaikučiai: žaidimo pabaiga,2003,PG,84 min,"Action, Adventure, Comedy",Comedy,4.3,57,55342,111761982
Ponas Zirnis ir Sermanas,2014,V,92 min,"Animation, Adventure, Comedy",Comedy,6.8,59,62737,111506430
Kiaulysčių namai,1981,nan,94 min,Comedy,Comedy,6.2,40,38690,111289673
Spy,2015,N-16,120 min,"Action, Comedy",Comedy,7.0,75,230317,110825712
Griaustinis tropikuose,2008,R,107 min,"Action, Comedy, War",Comedy,7.0,71,378359,110515313
Valentino diena,nan,PG-13,125 min,"Comedy, Romance",Comedy,5.7,34,114281,110485654
Nuotykiai su Diku ir Džeine,2005,PG-13,90 min,"Comedy, Crime",Comedy,6.2,47,135573,110332737
