index,year,certificate,length,category,rating,metascore,total_votes,US_box_office,index,first_genre,second_genre,third_genre
159,1998.0,PG-13,98.0,Comedy,7.0,60.0,239527.0,141153686.0,131,Action,Comedy,Crime
160,2019.0,N-13,132.0,Comedy,7.0,71.0,257390.0,140371656.0,132,Action,Adventure,Comedy
161,2018.0,N-13,110.0,Comedy,7.0,61.0,188678.0,140218711.0,133,Action,Comedy,Crime
162,2007.0,PG-13,91.0,Comedy,6.2,44.0,153733.0,140125968.0,134,Action,Comedy,Crime
164,1999.0,PG,84.0,Comedy,5.9,61.0,126094.0,140035367.0,135,Adventure,Comedy,Family
166,1992.0,PG,100.0,Comedy,6.4,51.0,88436.0,139610000.0,136,Comedy,Crime,Family
168,2003.0,PG,98.0,Comedy,5.9,46.0,94157.0,138614544.0,137,Comedy,Family,
169,2003.0,R,147.0,Comedy,6.6,38.0,232307.0,138608444.0,138,Action,Comedy,Crime
170,2012.0,N-16,109.0,Comedy,7.2,69.0,511725.0,138447667.0,139,Action,Comedy,Crime
171,2006.0,PG-13,107.0,Comedy,6.4,45.0,306561.0,137355633.0,140,Comedy,Drama,Fantasy
173,2003.0,PG-13,106.0,Comedy,6.3,52.0,203451.0,135645823.0,141,Comedy,,
174,2005.0,V,81.0,Comedy,5.7,48.0,86159.0,135386665.0,142,Animation,Adventure,Comedy
176,1998.0,PG-13,115.0,Comedy,6.8,25.0,105636.0,135026902.0,143,Biography,Comedy,Drama
177,2014.0,PG-13,99.0,Comedy,6.2,41.0,103612.0,134938200.0,144,Action,Comedy,Crime
178,2013.0,N-13,111.0,Comedy,5.7,35.0,125199.0,134506920.0,145,Adventure,Comedy,Crime
179,2013.0,N-13,101.0,Comedy,5.4,19.0,141112.0,133668525.0,146,Comedy,,
180,2011.0,G,87.0,Comedy,4.3,24.0,31640.0,133110742.0,147,Animation,Adventure,Comedy
181,2003.0,PG-13,105.0,Comedy,5.6,39.0,35005.0,132716677.0,148,Comedy,,
182,2012.0,N-13,122.0,Comedy,7.7,81.0,663393.0,132092958.0,149,Comedy,Drama,Romance
183,2014.0,V,101.0,Comedy,6.3,49.0,80550.0,131538435.0,150,Animation,Adventure,Comedy
185,1994.0,PG,91.0,Comedy,4.9,38.0,75968.0,130512915.0,151,Comedy,Family,Fantasy
186,2008.0,N-7,110.0,Comedy,6.5,54.0,204476.0,130319208.0,152,Action,Adventure,Comedy
187,2015.0,V,88.0,Comedy,7.1,67.0,42444.0,130178411.0,153,Animation,Comedy,Family
188,1996.0,PG-13,95.0,Comedy,5.6,62.0,110160.0,128814019.0,154,Comedy,Romance,Sci-Fi
189,2006.0,R,84.0,Comedy,7.3,89.0,378690.0,128505958.0,155,Comedy,,
190,2016.0,N-13,117.0,Comedy,6.5,60.0,204793.0,128344089.0,156,Action,Comedy,Fantasy
191,2014.0,N-16,129.0,Comedy,7.7,60.0,591721.0,128261724.0,157,Action,Adventure,Comedy
192,2005.0,V,91.0,Comedy,6.3,64.0,133284.0,128200012.0,158,Animation,Adventure,Comedy
194,2014.0,N-7,125.0,Comedy,5.9,69.0,132907.0,128002372.0,159,Adventure,Comedy,Drama
195,2007.0,V,107.0,Comedy,7.0,75.0,177226.0,127807262.0,160,Animation,Comedy,Family
196,2016.0,N-13,107.0,Comedy,6.3,52.0,160291.0,127440871.0,161,Action,Comedy,Crime
197,2013.0,PG-13,119.0,Comedy,6.3,61.0,169315.0,127352707.0,162,Comedy,,
198,2002.0,PG-13,108.0,Comedy,6.2,45.0,102796.0,127223418.0,163,Comedy,Romance,
200,1997.0,PG-13,105.0,Comedy,6.3,50.0,130211.0,127120029.0,164,Comedy,Drama,Romance
202,2007.0,V,91.0,Comedy,6.1,54.0,143121.0,126631277.0,165,Animation,Adventure,Comedy
203,1993.0,PG,105.0,Comedy,6.8,72.0,161184.0,126533006.0,166,Comedy,Drama,Romance
204,2002.0,PG-13,96.0,Comedy,5.8,24.0,136594.0,126293452.0,167,Comedy,Romance,
205,1998.0,PG,103.0,Comedy,8.1,90.0,943598.0,125618201.0,168,Comedy,Drama,
206,2000.0,PG-13,98.0,Comedy,5.5,52.0,176550.0,125305545.0,169,Action,Adventure,Comedy
207,2009.0,V,90.0,Comedy,6.9,66.0,206000.0,124870275.0,170,Animation,Adventure,Comedy
208,2006.0,PG-13,109.0,Comedy,6.9,62.0,372742.0,124740460.0,171,Comedy,Drama,
209,2003.0,N-7,128.0,Comedy,6.7,66.0,112221.0,124728738.0,172,Comedy,Drama,Romance
210,1996.0,R,117.0,Comedy,7.1,72.0,80099.0,124060553.0,173,Comedy,,
213,2011.0,PG,107.0,Comedy,7.2,75.0,237651.0,123477607.0,174,Animation,Adventure,Comedy
214,2000.0,PG-13,106.0,Comedy,4.4,38.0,48398.0,123309890.0,175,Comedy,Romance,Sci-Fi
215,2015.0,V,93.0,Comedy,6.7,66.0,102534.0,123087120.0,176,Animation,Adventure,Comedy
216,1992.0,PG-13,94.0,Comedy,7.0,57.0,144516.0,121697350.0,177,Comedy,Music,
217,2007.0,N-16,113.0,Comedy,7.6,76.0,522289.0,121463226.0,178,Comedy,,
218,2004.0,PG-13,99.0,Comedy,6.8,48.0,327913.0,120908074.0,179,Comedy,Drama,Romance
219,2018.0,N-13,114.0,Comedy,6.6,60.0,80831.0,120634935.0,180,Comedy,Musical,Romance
220,2008.0,PG-13,88.0,Comedy,5.7,41.0,66324.0,120146040.0,181,Comedy,Drama,Romance
221,2007.0,V,115.0,Comedy,5.9,37.0,141212.0,120059556.0,182,Comedy,Romance,
222,1994.0,PG-13,101.0,Comedy,6.9,56.0,347763.0,119938730.0,183,Action,Comedy,Crime
223,2013.0,PG,95.0,Comedy,6.4,59.0,91182.0,119793567.0,184,Animation,Adventure,Comedy
224,1991.0,V,142.0,Comedy,6.8,52.0,235694.0,119654823.0,185,Adventure,Comedy,Family
226,2009.0,PG,88.0,Comedy,5.1,41.0,42896.0,119436770.0,186,Animation,Action,Adventure
227,2010.0,PG-13,107.0,Comedy,6.6,64.0,243672.0,119219978.0,187,Action,Comedy,Crime
228,2007.0,V,117.0,Comedy,6.6,81.0,120009.0,118871849.0,188,Comedy,Drama,Musical
229,2006.0,PG-13,106.0,Comedy,5.8,45.0,125765.0,118703275.0,189,Comedy,Drama,Romance
230,2004.0,N-7,108.0,Comedy,6.8,62.0,196564.0,118627117.0,190,Adventure,Comedy,Family
231,2007.0,PG-13,93.0,Comedy,6.3,64.0,158355.0,118594548.0,191,Comedy,Sport,
233,2000.0,PG-13,99.0,Comedy,5.2,33.0,81060.0,117559438.0,192,Action,Comedy,Crime
234,2011.0,R,98.0,Comedy,6.9,57.0,422424.0,117538559.0,193,Comedy,Crime,
235,2010.0,R,95.0,Comedy,7.0,56.0,56849.0,117224271.0,194,Documentary,Action,Comedy
236,1999.0,PG-13,124.0,Comedy,7.1,68.0,276551.0,116089678.0,195,Comedy,Drama,Romance
237,1998.0,PG,119.0,Comedy,6.7,57.0,195910.0,115821495.0,196,Comedy,Drama,Romance
238,2018.0,V,95.0,Comedy,6.6,51.0,35578.0,115253424.0,197,Adventure,Comedy,Family
239,2017.0,R,122.0,Comedy,6.2,71.0,34466.0,115171585.0,198,Adventure,Comedy,Drama
242,2004.0,PG-13,92.0,Comedy,6.7,55.0,229683.0,114326736.0,199,Comedy,Sport,
243,2008.0,V,96.0,Comedy,6.8,67.0,190685.0,114053579.0,200,Animation,Adventure,Comedy
244,1999.0,PG-13,106.0,Comedy,5.0,38.0,153346.0,113805681.0,201,Action,Comedy,Sci-Fi
245,2014.0,N-7,98.0,Comedy,6.2,47.0,107575.0,113746621.0,202,Adventure,Comedy,Family
246,2012.0,N-16,110.0,Comedy,6.1,72.0,131678.0,113721571.0,203,Comedy,Drama,
248,2016.0,N-16,100.0,Comedy,6.2,60.0,114591.0,113257297.0,204,Comedy,,
